,Unnamed: 0,host_since,host_response_time,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,number_of_reviews,review_scores_cleanliness,review_scores_communication,review_scores_location
176,176,2014-05-07,within an hour,f,Miguel Hidalgo,Entire home/apt,2,144,4.68,4.55,4.97
177,177,2014-05-07,within an hour,f,Miguel Hidalgo,Entire home/apt,2,49,4.78,4.55,4.88
178,178,2014-04-23,within an hour,f,Benito Juárez,Private room,2,5,5.0,5.0,4.6
179,179,2014-04-27,within an hour,f,Cuajimalpa de Morelos,Entire home/apt,6,112,4.79,4.96,4.92
180,180,2016-07-16,within an hour,f,Cuauhtémoc,Entire home/apt,4,45,4.67,4.98,5.0
181,181,2014-11-03,within an hour,f,Benito Juárez,Entire home/apt,5,23,5.0,4.96,5.0
182,182,2014-08-27,within an hour,f,Miguel Hidalgo,Entire home/apt,4,21,5.0,5.0,4.95
183,183,2014-08-03,a few days or more,f,Cuauhtémoc,Private room,1,1,5.0,5.0,5.0
184,184,2014-08-12,within an hour,t,Coyoacán,Entire home/apt,2,418,4.92,4.91,4.88
185,185,2014-01-03,a few days or more,f,Coyoacán,Private room,1,76,4.93,4.96,4.99
186,186,2011-07-31,within an hour,t,Cuauhtémoc,Entire home/apt,4,154,4.88,4.97,4.94
187,187,2014-05-07,within an hour,f,Miguel Hidalgo,Entire home/apt,4,44,4.64,4.33,4.75
188,188,2014-05-07,within an hour,f,Miguel Hidalgo,Entire home/apt,7,55,4.85,4.6,4.71
189,189,2014-05-06,within an hour,t,Miguel Hidalgo,Entire home/apt,3,216,4.96,4.98,4.9
190,190,2014-05-07,within an hour,f,Miguel Hidalgo,Entire home/apt,2,73,4.83,4.6,4.78
191,191,2012-12-20,within an hour,NONE,Miguel Hidalgo,Entire home/apt,4,360,4.86,4.9,4.98
192,192,2014-05-26,within an hour,f,Cuauhtémoc,Entire home/apt,4,199,4.94,4.99,4.95
193,193,2012-07-08,within an hour,t,Cuauhtémoc,Entire home/apt,5,110,4.81,4.89,4.95
194,194,2013-04-01,within an hour,f,Miguel Hidalgo,Entire home/apt,6,0,0.0,0.0,0.0
195,195,2014-05-07,within an hour,f,Miguel Hidalgo,Entire home/apt,2,134,4.89,4.66,4.96
196,196,2014-11-21,within a few hours,f,Coyoacán,Private room,2,165,4.79,4.88,4.97
197,197,2014-11-07,within an hour,t,Cuauhtémoc,Entire home/apt,4,176,4.98,4.99,4.84
198,198,2014-12-01,within an hour,f,Cuauhtémoc,Private room,1,0,0.0,0.0,0.0
199,199,2014-07-01,within an hour,t,Coyoacán,Entire home/apt,2,83,4.89,4.87,4.94
200,200,2014-02-19,within an hour,f,Cuauhtémoc,Entire home/apt,8,60,4.72,4.88,4.71
201,201,2014-12-15,within a day,f,Álvaro Obregón,Private room,2,1,4.0,5.0,5.0
202,202,2014-07-08,a few days or more,f,Cuauhtémoc,Private room,1,18,4.89,4.83,4.83
203,203,2014-12-15,within a day,f,Álvaro Obregón,Private room,1,16,4.44,4.69,4.63
204,204,2014-12-15,within a day,f,Álvaro Obregón,Private room,1,3,4.67,5.0,5.0
205,205,2014-05-07,within an hour,f,Miguel Hidalgo,Entire home/apt,1,68,4.99,4.78,4.91
206,206,2014-06-01,within an hour,t,Cuauhtémoc,Entire home/apt,2,36,4.75,4.92,4.75
207,207,2014-04-04,within an hour,t,Cuauhtémoc,Entire home/apt,8,70,4.79,4.96,4.71
208,208,2014-02-28,within an hour,f,Miguel Hidalgo,Entire home/apt,6,75,4.71,4.86,4.57
209,209,2014-06-10,within an hour,t,Cuauhtémoc,Entire home/apt,2,151,4.95,4.96,4.91
210,210,2014-06-10,within an hour,t,Cuauhtémoc,Entire home/apt,2,113,4.96,4.97,4.88
211,211,2014-06-11,within a few hours,f,Cuauhtémoc,Private room,2,46,4.8,4.98,4.91
212,212,2014-12-18,within an hour,f,Coyoacán,Private room,2,82,4.98,4.99,4.94
213,213,2014-12-25,within an hour,t,Coyoacán,Entire home/apt,4,154,4.96,4.99,4.99
214,214,2014-07-01,within an hour,NONE,Cuauhtémoc,Entire home/apt,2,356,4.9,4.98,4.85
215,215,2014-07-12,within an hour,f,Cuauhtémoc,Entire home/apt,2,268,4.7,4.81,4.9
216,216,2014-11-07,within an hour,f,Cuauhtémoc,Private room,1,14,4.64,4.86,5.0
217,217,2014-11-06,within a day,f,Coyoacán,Entire home/apt,4,65,4.92,4.97,4.98
218,218,2011-07-13,within an hour,t,Benito Juárez,Private room,2,79,4.71,4.97,4.97
219,219,2014-02-19,within an hour,f,Cuauhtémoc,Entire home/apt,4,65,4.72,4.75,4.81
220,220,2014-09-12,within an hour,f,Álvaro Obregón,Private room,6,11,4.82,4.91,4.55
221,221,2013-03-02,within an hour,f,Benito Juárez,Entire home/apt,4,46,4.93,4.98,5.0
222,222,2014-06-29,within a day,f,Cuajimalpa de Morelos,Entire home/apt,4,7,4.86,5.0,4.0
223,223,2014-07-01,within an hour,t,Coyoacán,Entire home/apt,1,26,5.0,4.92,5.0
224,224,2014-07-02,within an hour,f,Cuauhtémoc,Private room,2,0,0.0,0.0,0.0
225,225,2014-07-17,within a few hours,t,Álvaro Obregón,Private room,2,15,4.87,5.0,5.0
226,226,2014-07-12,within an hour,f,Cuauhtémoc,Entire home/apt,2,240,4.82,4.89,4.96
227,227,2014-07-14,within an hour,f,Cuauhtémoc,Entire home/apt,2,372,4.7,4.91,4.91
228,228,2014-07-15,within a few hours,f,Miguel Hidalgo,Entire home/apt,2,35,4.94,4.97,4.91
229,229,2014-07-17,within an hour,f,Miguel Hidalgo,Private room,3,29,4.31,4.96,4.96
230,230,2012-10-26,within an hour,t,Cuauhtémoc,Entire home/apt,2,106,4.68,4.94,4.94
231,231,2012-11-27,within an hour,f,Miguel Hidalgo,Entire home/apt,4,0,0.0,0.0,0.0
232,232,2015-01-10,within an hour,t,Coyoacán,Entire home/apt,2,14,4.93,5.0,4.71
233,233,2014-07-17,within an hour,t,Benito Juárez,Entire home/apt,1,27,4.85,4.96,4.93
234,234,2012-07-11,within an hour,t,Cuauhtémoc,Entire home/apt,4,88,4.92,5.0,4.99
235,235,2014-12-08,within an hour,t,Benito Juárez,Entire home/apt,4,527,4.88,4.93,4.93
236,236,2013-09-17,within an hour,t,Cuauhtémoc,Entire home/apt,8,332,4.89,4.96,4.97
237,237,2015-01-20,within an hour,f,Tlalpan,Private room,2,0,0.0,0.0,0.0
238,238,2014-10-25,within an hour,f,Cuauhtémoc,Private room,1,0,0.0,0.0,0.0
239,239,00/00/00,within an hour,f,Cuauhtémoc,Entire home/apt,4,367,4.83,4.88,4.93
240,240,2014-07-18,within an hour,t,Miguel Hidalgo,Entire home/apt,4,656,4.93,4.97,4.98
241,241,2014-06-29,within a day,f,Cuajimalpa de Morelos,Private room,2,1,5.0,5.0,4.0
242,242,2014-07-23,within an hour,f,Miguel Hidalgo,Private room,2,0,0.0,0.0,0.0
243,243,2014-06-12,within an hour,t,Cuauhtémoc,Entire home/apt,5,427,4.89,4.99,4.99
244,244,2014-01-28,within an hour,t,Miguel Hidalgo,Private room,2,127,4.87,4.88,4.89
245,245,2014-07-31,within an hour,f,Tlalpan,Private room,1,0,0.0,0.0,0.0
246,246,2013-04-10,within a day,f,Coyoacán,Private room,2,71,4.97,5.0,5.0
247,247,2015-01-27,within an hour,t,Cuauhtémoc,Entire home/apt,3,266,4.96,4.99,4.94
248,248,2014-05-07,within an hour,f,Miguel Hidalgo,Entire home/apt,4,74,4.89,4.5,4.86
249,249,2011-10-23,within an hour,t,Cuauhtémoc,Entire home/apt,1,27,4.56,4.85,4.93
250,250,2014-12-20,within an hour,f,Cuauhtémoc,Entire home/apt,4,77,4.87,4.92,4.99
251,251,2015-01-14,within an hour,f,Benito Juárez,Entire home/apt,4,16,4.88,5.0,5.0
252,252,2014-05-07,within an hour,f,Miguel Hidalgo,Entire home/apt,2,70,4.91,4.57,4.9
253,253,2015-01-30,within an hour,f,Miguel Hidalgo,Entire home/apt,3,11,5.0,5.0,4.36
254,254,2014-07-17,within an hour,t,Benito Juárez,Entire home/apt,1,82,4.93,4.99,4.91
255,255,2014-08-09,within an hour,NONE,Cuauhtémoc,Entire home/apt,8,194,4.97,4.96,4.95
256,256,2014-08-10,within an hour,f,Coyoacán,Private room,2,25,4.68,4.92,4.92
257,257,2014-08-04,within an hour,t,Cuajimalpa de Morelos,Entire home/apt,5,133,4.82,4.96,4.94
258,258,2012-06-16,within a day,t,Cuauhtémoc,Private room,1,24,4.83,4.88,4.96
259,259,2014-07-08,within an hour,f,Benito Juárez,Entire home/apt,2,145,4.8,4.92,4.94
260,260,2015-01-30,within an hour,t,Cuauhtémoc,Entire home/apt,6,270,4.92,4.88,4.97
261,261,2015-02-01,within an hour,t,Coyoacán,Private room,3,88,4.83,4.88,4.88
262,262,00/00/00,within an hour,f,Cuauhtémoc,Entire home/apt,3,367,4.89,4.87,4.91
263,263,00/00/00,within an hour,f,Cuauhtémoc,Entire home/apt,4,292,4.85,4.87,4.94
264,264,2014-07-04,within an hour,t,Cuauhtémoc,Private room,2,407,4.94,4.87,4.93
265,265,2014-12-22,within an hour,f,Cuauhtémoc,Private room,2,31,4.52,4.93,4.93
266,266,2015-02-01,within an hour,t,Coyoacán,Private room,1,135,4.86,4.92,4.91
267,267,00/00/00,within an hour,f,Venustiano Carranza,Entire home/apt,2,132,4.84,4.92,4.64
268,268,2014-01-15,within an hour,f,Miguel Hidalgo,Entire home/apt,4,43,4.79,4.91,4.77
269,269,2011-12-12,within an hour,f,Cuauhtémoc,Entire home/apt,2,285,4.68,4.87,4.94
270,270,2014-02-19,within an hour,f,Cuauhtémoc,Entire home/apt,4,42,4.81,4.88,4.83
